pre,protocol,h3,hostname,state,ip,port
"HTTP/1.1 404 Not Found
Content-Type: text/html; charset=us-ascii
Server: Microsoft-HTTPAPI/2.0
Date: Wed, 08 Nov 2017 21:38:23 GMT
Connection: close
Content-Length: 315

",tcp,,nat-a07-y-a08-131-178-156-41.mty.itesm.mx,http-simple-new,"131.178.156.41
,
",5985
"HTTP/1.1 404 Not Found
Connection: Keep-Alive
Server: Embedthis-http
ETag: ""0-1000-5845aeda""
Cache-Control: no-cache
Last-Modified: Mon, 05 Dec 2016 18:15:54 GMT
Date: Fri, 10 Nov 2017 08:42:24 GMT
Content-Length: 167
Keep-Alive: timeout=60, max=199

",tcp,,nat-a07-y-a08-131-178-156-41.mty.itesm.mx,http,"131.178.156.41
,
",8080
"HTTP/1.1 401 Unauthorized
Content-Length: 1656
Content-Type: text/html
Server: Microsoft-IIS/6.0
WWW-Authenticate: Negotiate
WWW-Authenticate: NTLM
MicrosoftSharePointTeamServices: 12.0.0.6565
X-Powered-By: ASP.NET
Date: Fri, 24 Nov 2017 02:00:56 GMT

",tcp,Microsoft IIS httpd,mty0005.mty.itesm.mx,http,"131.178.32.28
,
",80
"HTTP/1.1 200 OK
Content-Length: 1433
Content-Type: text/html
Content-Location: http://131.178.32.28:8080/iisstart.htm
Last-Modified: Sat, 22 Feb 2003 00:48:30 GMT
Accept-Ranges: bytes
ETag: ""03251ecdac21:3670b5""
Server: Microsoft-IIS/6.0
MicrosoftOfficeWebServer: 5.0_Pub
X-Powered-By: ASP.NET
Date: Tue, 21 Nov 2017 16:39:26 GMT

",tcp,Microsoft IIS httpd,mty0005.mty.itesm.mx,http,"131.178.32.28
,
",8080
"220 Microsoft FTP Service
530 User anonymous cannot log in.
214-The following  commands are recognized(* ==>'s unimplemented).
   ABOR 
   ACCT 
   ALLO 
   APPE 
   CDUP 
   CWD  
   DELE 
   FEAT 
   HELP 
   LIST 
   MDTM 
   MKD  
   MODE 
   NLST 
   NOOP 
   OPTS 
   PASS 
   PASV 
   PORT 
   PWD  
   QUIT 
   REIN 
   REST 
   RETR 
   RMD  
   RNFR 
   RNTO 
   SITE 
   SIZE 
   SMNT 
   STAT 
   STOR 
   STOU 
   STRU 
   SYST 
   TYPE 
   USER 
   XCUP 
   XCWD 
   XMKD 
   XPWD 
   XRMD 
214  HELP command successful.
530 Please login with USER and PASS.",tcp,Microsoft ftpd,chef.mty.itesm.mx,ftp,"131.178.5.152
,
",21
"HTTP/1.1 200 OK
Date: Tue, 05 Dec 2017 11:47:25 GMT
Server: Apache/2.2.22 (Win32)
Last-Modified: Mon, 17 Jun 2013 17:48:03 GMT
ETag: ""15000000011aa4-19e-4df5d32ca240c""
Accept-Ranges: bytes
Content-Length: 414
Content-Type: text/html

",tcp,Apache httpd,chef.mty.itesm.mx,http,"131.178.5.152
,
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,chef.mty.itesm.mx,rdp,"131.178.5.152
,
",3389
"HTTP/1.1 200 OK
X-Powered-By: Servlet/3.0
Server: GlassFish Server Open Source Edition 3.0.1
Accept-Ranges: bytes
ETag: W/""145-1349824007485""
Last-Modified: Tue, 09 Oct 2012 23:06:47 GMT
Content-Type: text/html
Content-Length: 145
Date: Wed, 06 Dec 2017 05:20:55 GMT

",tcp,Sun GlassFish Open Source Edition,chef.mty.itesm.mx,http,"131.178.5.152
,
",8080
"HTTP/1.1 404 Not Found
Connection: Keep-Alive
Server: Embedthis-http
ETag: ""0-1000-5845aeda""
Cache-Control: no-cache
Last-Modified: Mon, 05 Dec 2016 18:15:54 GMT
Date: Wed, 06 Dec 2017 13:34:22 GMT
Content-Length: 167
Keep-Alive: timeout=60, max=199

",tcp,,nat-a07-y-a08-131-178-156-148.mty.itesm.mx,http,"131.178.156.148
,
",8080
"HTTP/1.1 200 OK
Content-Type: text/html
Last-Modified: Sun, 30 Aug 2015 20:19:54 GMT
Accept-Ranges: bytes
ETag: ""14d9b53b61e3d01:0""
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Mon, 04 Dec 2017 06:14:53 GMT
Content-Length: 701

",tcp,Microsoft IIS httpd,2017-12-07T09:52:18.967197,http,"131.178.5.190
,
",80
